time,power1,TV,washing_drying,kitchen appliances,fridge,heating
2023-01-01 00:00,51,13,0,0,1,16
2023-01-01 01:00,153,14,0,0,32,89
2023-01-01 02:00,148,14,0,0,0,111
2023-01-01 03:00,50,0,0,0,20,11
2023-01-01 04:00,0,0,0,0,1,0
2023-01-01 05:00,0,0,0,0,10,0
2023-01-01 06:00,0,0,0,0,26,0
2023-01-01 07:00,0,0,0,0,12,0
2023-01-01 08:00,296,13,0,0,8,245
2023-01-01 09:00,211,13,0,0,14,157
2023-01-01 10:00,28,0,0,0,11,0
2023-01-01 11:00,191,0,0,0,29,144
2023-01-01 12:00,227,14,0,0,0,186
2023-01-01 13:00,193,17,0,18,2,136
2023-01-01 14:00,241,12,0,0,3,201
2023-01-01 15:00,197,11,0,0,11,149
2023-01-01 16:00,161,15,0,0,32,93
2023-01-01 17:00,45,15,0,0,1,4
2023-01-01 18:00,128,17,0,0,27,62
2023-01-01 19:00,96,15,0,0,9,47
2023-01-01 20:00,65,14,0,0,30,0
2023-01-01 21:00,209,17,0,62,1,103
2023-01-01 22:00,286,17,0,199,33,8
2023-01-01 23:00,120,14,0,0,19,64
2023-01-02 00:00,185,13,0,19,29,97
2023-01-02 01:00,43,15,0,0,1,0
2023-01-02 02:00,102,13,0,0,23,48
2023-01-02 03:00,81,0,0,0,9,52
2023-01-02 04:00,0,0,0,0,18,0
2023-01-02 05:00,0,0,0,0,12,0
2023-01-02 06:00,0,0,0,0,15,0
2023-01-02 07:00,0,0,0,0,1,0
2023-01-02 08:00,219,0,0,0,34,168
2023-01-02 09:00,185,0,0,0,7,156
2023-01-02 10:00,14,0,0,0,23,0
2023-01-02 11:00,283,0,0,0,0,261
2023-01-02 12:00,226,14,0,0,11,176
2023-01-02 13:00,217,17,0,0,4,177
2023-01-02 14:00,109,16,0,0,9,67
2023-01-02 15:00,105,11,0,0,29,50
2023-01-02 16:00,116,0,0,16,11,67
2023-01-02 17:00,96,13,0,0,26,32
2023-01-02 18:00,56,13,0,0,0,0
2023-01-02 19:00,74,14,0,0,20,0
2023-01-02 20:00,62,12,0,0,6,0
2023-01-02 21:00,95,0,0,0,11,41
2023-01-02 22:00,56,0,0,0,12,0
2023-01-02 23:00,171,0,0,0,0,127
2023-01-03 00:00,58,0,0,0,18,0
2023-01-03 01:00,105,0,0,0,8,53
2023-01-03 02:00,141,0,0,0,27,75
2023-01-03 03:00,113,0,0,0,13,58
