time,power1,TV,washing_drying,kitchen appliances,fridge,heating
2023-01-01 00:00,277,18,0,91,10,37
2023-01-01 01:00,294,19,0,83,14,45
2023-01-01 02:00,510,3,0,25,25,352
2023-01-01 03:00,425,0,0,0,14,343
2023-01-01 04:00,476,18,26,0,0,361
2023-01-01 05:00,450,12,0,0,0,351
2023-01-01 06:00,130,0,0,0,0,70
2023-01-01 07:00,140,0,0,0,12,71
2023-01-01 08:00,151,0,0,0,25,70
2023-01-01 09:00,141,0,0,0,25,64
2023-01-01 10:00,143,0,0,0,18,70
2023-01-01 11:00,122,0,0,0,3,64
2023-01-01 12:00,152,0,0,0,1,72
2023-01-01 13:00,117,19,0,0,0,5
2023-01-01 14:00,37,0,0,0,4,0
2023-01-01 15:00,55,0,0,0,25,0
2023-01-01 16:00,255,0,0,205,23,1
2023-01-01 17:00,67,21,0,0,0,0
2023-01-01 18:00,54,19,0,0,0,0
2023-01-01 19:00,38,0,0,0,4,0
2023-01-01 20:00,363,0,0,0,25,312
2023-01-01 21:00,388,15,0,6,25,313
2023-01-01 22:00,76,19,0,17,10,0
2023-01-01 23:00,81,15,0,0,0,4
2023-01-02 00:00,235,17,0,116,1,16
2023-01-02 01:00,168,0,0,57,26,28
2023-01-02 02:00,965,18,0,49,25,332
2023-01-02 03:00,452,18,0,0,10,336
2023-01-02 04:00,95,19,0,0,0,20
2023-01-02 05:00,59,0,0,0,0,16
2023-01-02 06:00,79,0,0,0,11,26
2023-01-02 07:00,78,0,0,0,25,16
2023-01-02 08:00,76,0,0,0,24,16
2023-01-02 09:00,66,0,0,0,4,20
2023-01-02 10:00,59,0,0,0,0,17
2023-01-02 11:00,58,0,0,0,0,16
2023-01-02 12:00,77,0,0,6,10,17
2023-01-02 13:00,465,20,301,45,25,43
2023-01-02 14:00,491,0,42,3,22,30
2023-01-02 15:00,161,18,0,0,0,45
2023-01-02 16:00,148,19,0,0,0,35
2023-01-02 17:00,209,18,0,103,13,35
2023-01-02 18:00,107,0,0,0,4,46
2023-01-02 19:00,235,0,117,0,11,55
2023-01-02 20:00,536,0,136,0,1,350
2023-01-02 21:00,405,0,0,0,0,318
2023-01-02 22:00,100,18,0,1,0,36
2023-01-02 23:00,102,20,0,0,0,15
2023-01-03 00:00,487,18,0,34,0,339
2023-01-03 01:00,415,7,0,0,0,313
2023-01-03 02:00,391,17,0,0,0,316
2023-01-03 03:00,421,19,0,0,0,316
2023-01-03 04:00,57,0,0,0,7,0
2023-01-03 05:00,64,0,0,0,17,0
2023-01-03 06:00,138,18,0,0,25,38
2023-01-03 07:00,157,0,0,0,11,76
2023-01-03 08:00,165,0,0,0,25,74
2023-01-03 09:00,155,0,0,0,21,67
2023-01-03 10:00,140,0,0,0,14,61
2023-01-03 11:00,125,0,0,0,8,60
2023-01-03 12:00,125,0,0,0,1,68
2023-01-03 13:00,138,19,0,0,1,65
2023-01-03 14:00,156,0,0,93,0,58
2023-01-03 15:00,249,18,0,95,0,65
2023-01-03 16:00,615,18,0,76,0,118
2023-01-03 17:00,118,19,0,66,2,0
2023-01-03 18:00,92,1,0,42,12,5
2023-01-03 19:00,79,0,0,15,25,9
2023-01-03 20:00,356,0,0,0,8,317
2023-01-03 21:00,340,0,0,0,0,309
2023-01-03 22:00,62,17,0,0,0,0
2023-01-03 23:00,117,18,0,12,10,0
2023-01-04 00:00,995,18,0,135,25,141
2023-01-04 01:00,216,0,0,9,23,71
2023-01-04 02:00,744,18,309,0,3,345
2023-01-04 03:00,596,18,46,50,1,415
2023-01-04 04:00,163,18,0,0,0,82
2023-01-04 05:00,158,17,0,0,12,72
2023-01-04 06:00,183,20,0,0,25,74
2023-01-04 07:00,177,18,0,0,25,73
2023-01-04 08:00,46,0,0,0,13,0
2023-01-04 09:00,35,0,0,0,0,0
2023-01-04 10:00,35,0,0,0,0,0
2023-01-04 11:00,36,0,0,0,0,0
2023-01-04 12:00,58,17,0,0,7,0
2023-01-04 13:00,283,7,0,179,25,13
2023-01-04 14:00,91,18,0,0,25,16
2023-01-04 15:00,412,0,0,0,17,257
2023-01-04 16:00,63,0,0,0,1,15
2023-01-04 17:00,346,0,0,572,1,18
2023-01-04 18:00,45,0,0,0,0,0
2023-01-04 19:00,52,0,0,0,0,14
2023-01-04 20:00,348,0,0,0,15,305
2023-01-04 21:00,385,0,0,0,25,329
2023-01-04 22:00,87,14,0,0,25,15
2023-01-04 23:00,578,19,0,698,15,21
2023-01-05 00:00,108,1,0,68,1,1
2023-01-05 01:00,125,0,0,1,0,0
2023-01-05 02:00,159,18,0,48,1,15
2023-01-05 03:00,816,17,319,0,16,0
2023-01-05 04:00,117,17,27,0,26,14
2023-01-05 05:00,114,18,44,0,22,0
2023-01-05 06:00,343,0,0,0,6,305
2023-01-05 07:00,339,0,0,0,0,306
2023-01-05 08:00,36,0,0,0,0,0
2023-01-05 09:00,55,0,0,0,0,14
2023-01-05 10:00,56,0,0,0,0,15
2023-01-05 11:00,41,0,0,0,6,0
2023-01-05 12:00,274,0,0,206,22,17
2023-01-05 13:00,228,20,0,0,25,102
2023-01-05 14:00,279,0,0,0,25,143
2023-01-05 15:00,80,17,0,33,16,1
2023-01-05 16:00,37,0,0,0,4,0
2023-01-05 17:00,43,0,0,16,2,0
2023-01-05 18:00,48,15,0,0,0,0
2023-01-05 19:00,34,0,0,0,0,0
2023-01-05 20:00,327,0,0,0,0,298
2023-01-05 21:00,668,0,197,117,14,303
2023-01-05 22:00,86,20,0,0,25,0
2023-01-05 23:00,290,17,0,190,25,1
2023-01-06 00:00,120,0,0,53,2,0
2023-01-06 01:00,158,3,0,16,0,4
2023-01-06 02:00,449,19,0,13,8,313
2023-01-06 03:00,446,18,0,29,25,307
2023-01-06 04:00,112,18,0,0,25,0
2023-01-06 05:00,89,17,0,0,11,0
2023-01-06 06:00,79,18,0,0,0,0
2023-01-06 07:00,73,0,0,0,9,29
2023-01-06 08:00,57,0,0,0,0,16
2023-01-06 09:00,59,0,0,0,1,16
2023-01-06 10:00,83,0,0,0,16,26
2023-01-06 11:00,83,0,0,0,25,21
2023-01-06 12:00,101,0,0,0,24,34
2023-01-06 13:00,251,18,0,238,22,37
2023-01-06 14:00,323,18,0,0,1,203
2023-01-06 15:00,82,19,0,0,0,0
2023-01-06 16:00,51,18,0,0,0,0
2023-01-06 17:00,130,0,0,84,17,1
2023-01-06 18:00,54,0,0,0,24,0
2023-01-06 19:00,82,20,0,0,20,0
2023-01-06 20:00,372,18,0,0,2,310
2023-01-06 21:00,369,0,0,0,0,320
2023-01-06 22:00,36,0,0,0,2,0
2023-01-06 23:00,47,0,0,0,15,0
2023-01-07 00:00,60,0,0,0,25,0
2023-01-07 01:00,126,19,0,0,15,0
2023-01-07 02:00,410,18,0,5,1,315
2023-01-07 03:00,415,19,0,0,0,313
2023-01-07 04:00,438,4,0,0,0,344
2023-01-07 05:00,172,0,0,0,6,101
2023-01-07 06:00,202,0,0,0,21,97
2023-01-07 07:00,195,0,0,0,25,89
2023-01-07 08:00,180,0,0,0,24,96
2023-01-07 09:00,170,0,0,0,12,96
2023-01-07 10:00,153,0,0,0,1,89
2023-01-07 11:00,156,0,0,0,0,93
2023-01-07 12:00,197,0,0,0,0,97
2023-01-07 13:00,497,17,317,0,0,99
2023-01-07 14:00,130,18,17,0,9,37
2023-01-07 15:00,78,17,0,0,26,0
2023-01-07 16:00,80,18,9,0,23,0
2023-01-07 17:00,66,22,0,0,14,0
2023-01-07 18:00,37,0,0,0,4,0
2023-01-07 19:00,273,0,0,0,3,185
2023-01-07 20:00,789,0,259,0,0,453
2023-01-07 21:00,381,0,0,84,2,309
2023-01-07 22:00,56,19,0,0,3,0
2023-01-07 23:00,297,20,0,227,6,3
2023-01-08 00:00,99,0,0,12,25,0
2023-01-08 01:00,231,18,0,5,22,59
2023-01-08 02:00,417,17,0,0,1,316
2023-01-08 03:00,429,20,0,0,0,314
2023-01-08 04:00,375,18,0,0,1,312
2023-01-08 05:00,236,0,69,101,10,3
2023-01-08 06:00,97,0,43,0,25,0
2023-01-08 07:00,51,0,0,0,19,0
2023-01-08 08:00,37,0,0,0,2,0
2023-01-08 09:00,36,0,0,0,0,0
2023-01-08 10:00,36,0,0,0,0,0
2023-01-08 11:00,37,0,0,0,0,0
2023-01-08 12:00,53,0,0,0,2,0
2023-01-08 13:00,74,18,0,0,25,0
2023-01-08 14:00,62,9,0,0,25,0
2023-01-08 15:00,43,0,0,0,13,0
2023-01-08 16:00,53,18,0,0,0,0
2023-01-08 17:00,60,20,0,12,2,0
2023-01-08 18:00,36,0,0,0,1,0
2023-01-08 19:00,48,0,0,0,15,0
2023-01-08 20:00,371,0,0,0,25,319
2023-01-08 21:00,375,0,0,0,25,323
2023-01-08 22:00,53,18,0,0,1,0
2023-01-08 23:00,62,17,0,0,0,0
2023-01-09 00:00,234,9,0,90,0,59
2023-01-09 01:00,252,0,0,24,0,82
2023-01-09 02:00,441,18,0,0,7,349
2023-01-09 03:00,473,19,0,0,23,344
2023-01-09 04:00,164,18,0,0,25,26
2023-01-09 05:00,91,0,0,0,22,18
2023-01-09 06:00,102,18,0,0,4,14
2023-01-09 07:00,94,17,0,0,10,8
2023-01-09 08:00,55,0,0,0,0,14
2023-01-09 09:00,36,0,0,0,0,0
2023-01-09 10:00,36,0,0,0,0,0
2023-01-09 11:00,37,0,0,0,0,0
2023-01-09 12:00,86,0,0,0,17,14
2023-01-09 13:00,89,0,0,0,25,27
2023-01-09 14:00,198,18,0,0,14,100
2023-01-09 15:00,347,0,0,0,1,305
2023-01-09 16:00,355,18,0,0,1,307
2023-01-09 17:00,68,21,0,14,0,0
2023-01-09 18:00,38,0,0,0,2,0
2023-01-09 19:00,373,0,326,0,15,0
2023-01-09 20:00,373,0,25,0,25,299
2023-01-09 21:00,395,0,55,0,15,301
2023-01-09 22:00,77,18,0,0,1,0
2023-01-09 23:00,74,21,0,0,0,9
2023-01-10 00:00,259,19,0,110,0,9
2023-01-10 01:00,239,0,0,24,14,26
