time,power1,fridge,washer,dishwasher
2013-06-19 15:00,319883,312783,0,7100
2013-06-19 16:00,209001,201507,0,7494
2013-06-19 17:00,222973,222973,0,0
2013-06-19 18:00,150708,150708,0,0
2013-06-19 19:00,113245,113245,0,0
2013-06-19 20:00,481933,481917,16,0
2013-06-19 21:00,983685,983685,0,0
2013-06-19 22:00,306457,306457,0,0
2013-06-19 23:00,202476,202476,0,0
2013-06-20 00:00,134608,134608,0,0
2013-06-20 01:00,116752,116752,0,0
2013-06-20 02:00,104405,104405,0,0
2013-06-20 03:00,104788,104788,0,0
2013-06-20 04:00,96341,96341,0,0
2013-06-20 05:00,101247,101247,0,0
2013-06-20 06:00,111329,111329,0,0
2013-06-20 07:00,169026,169026,0,0
2013-06-20 08:00,95130,95130,0,0
2013-06-20 09:00,100594,100594,0,0
2013-06-20 10:00,110062,110062,0,0
2013-06-20 11:00,128414,128414,0,0
2013-06-20 12:00,101477,101477,0,0
2013-06-20 13:00,97628,97628,0,0
2013-06-20 14:00,103701,103701,0,0
2013-06-20 15:00,124380,124380,0,0
2013-06-20 16:00,94920,94920,0,0
2013-06-20 17:00,194499,194499,0,0
2013-06-20 18:00,211104,211104,0,0
2013-06-20 19:00,112348,112348,0,0
2013-06-20 20:00,266125,266125,0,0
2013-06-20 21:00,231158,231158,0,0
2013-06-20 22:00,218876,218876,0,0
2013-06-20 23:00,171579,171579,0,0
2013-06-21 00:00,108023,108023,0,0
2013-06-21 01:00,102805,102805,0,0
2013-06-21 02:00,99370,99370,0,0
2013-06-21 03:00,90841,90841,0,0
2013-06-21 04:00,97360,97360,0,0
2013-06-21 05:00,119318,119318,0,0
2013-06-21 06:00,106222,106222,0,0
2013-06-21 07:00,126240,126240,0,0
2013-06-21 08:00,244440,244440,0,0
2013-06-21 09:00,124066,124066,0,0
2013-06-21 10:00,113509,113509,0,0
2013-06-21 11:00,101643,101643,0,0
2013-06-21 12:00,112394,112394,0,0
2013-06-21 13:00,117300,117300,0,0
2013-06-21 14:00,117803,117803,0,0
2013-06-21 15:00,126510,126510,0,0
2013-06-21 16:00,160950,160950,0,0
2013-06-21 17:00,117372,117372,0,0
