time,power1,fridge,washer,dishwasher
2014-06-29 17:00,175321,7348,167973,0
2014-06-29 18:00,163359,27183,136176,0
2014-06-29 19:00,343902,25884,318018,0
2014-06-29 20:00,31283,23354,7929,0
2014-06-29 21:00,31117,23477,7640,0
2014-06-29 22:00,34061,25828,8233,0
2014-06-29 23:00,31886,23563,8323,0
2014-06-30 00:00,32750,24436,8314,0
2014-06-30 01:00,32745,24454,8291,0
2014-06-30 02:00,28301,20023,8278,0
2014-06-30 03:00,25555,17141,8414,0
2014-06-30 04:00,24651,16374,8277,0
2014-06-30 05:00,30597,22261,8336,0
2014-06-30 06:00,33968,25804,8164,0
2014-06-30 07:00,34187,26037,8150,0
2014-06-30 08:00,34458,26345,8113,0
2014-06-30 09:00,34285,26143,8142,0
2014-06-30 10:00,20816,13714,7102,0
2014-06-30 11:00,16884,9959,6925,0
2014-06-30 12:00,31168,22872,8296,0
2014-06-30 13:00,42818,34508,8310,0
2014-06-30 14:00,69987,61780,8207,0
2014-06-30 15:00,25624,17358,8266,0
2014-06-30 16:00,37202,28989,8213,0
2014-06-30 17:00,46917,38613,8304,0
2014-06-30 18:00,37793,29464,8329,0
2014-06-30 19:00,30774,22658,8116,0
2014-06-30 20:00,302488,41801,8431,252256
2014-06-30 21:00,263394,38331,8404,216659
2014-06-30 22:00,292593,32861,8254,251478
2014-06-30 23:00,27037,18777,8260,0
2014-07-01 00:00,27180,19162,8018,0
2014-07-01 01:00,33208,25048,8160,0
2014-07-01 02:00,38918,30693,8225,0
2014-07-01 03:00,32871,24658,8213,0
2014-07-01 04:00,35464,27208,8256,0
2014-07-01 05:00,35708,27467,8241,0
2014-07-01 06:00,26317,18051,8266,0
2014-07-01 07:00,29362,21341,8021,0
2014-07-01 08:00,24873,16636,8237,0
2014-07-01 09:00,35831,27465,8366,0
2014-07-01 10:00,35482,27334,8148,0
2014-07-01 11:00,48033,39958,8075,0
2014-07-01 12:00,32899,24589,8310,0
2014-07-01 13:00,26552,18367,8185,0
2014-07-01 14:00,25983,17773,8210,0
2014-07-01 15:00,25137,16934,8203,0
2014-07-01 16:00,30659,22522,8137,0
2014-07-01 17:00,32180,24156,8024,0
2014-07-01 18:00,32842,24633,8209,0
2014-07-01 19:00,39694,31474,8220,0
2014-07-01 20:00,35780,27874,7906,0
2014-07-01 21:00,142023,25993,116030,0
2014-07-01 22:00,297377,25600,271777,0
2014-07-01 23:00,383071,21380,361691,0
2014-07-02 00:00,28383,17639,10744,0
2014-07-02 01:00,26205,17268,8937,0
2014-07-02 02:00,27680,18603,9077,0
2014-07-02 03:00,32321,23319,9002,0
2014-07-02 04:00,30743,21792,8951,0
2014-07-02 05:00,31645,22625,9020,0
2014-07-02 06:00,34066,25196,8870,0
2014-07-02 07:00,37364,28361,9003,0
2014-07-02 08:00,32261,24112,8149,0
2014-07-02 09:00,25517,17263,8254,0
2014-07-02 10:00,25056,16787,8269,0
2014-07-02 11:00,37678,29537,8141,0
2014-07-02 12:00,215586,33722,181864,0
2014-07-02 13:00,258873,27302,231571,0
2014-07-02 14:00,35078,26304,8774,0
2014-07-02 15:00,26767,17752,9015,0
2014-07-02 16:00,26022,16977,9045,0
2014-07-02 17:00,35054,25936,9118,0
2014-07-02 18:00,37863,28681,9182,0
2014-07-02 19:00,36396,27080,9316,0
2014-07-02 20:00,37650,28766,8884,0
2014-07-02 21:00,38763,29524,9239,0
2014-07-02 22:00,38179,28926,9253,0
2014-07-02 23:00,32571,23272,9299,0
2014-07-03 00:00,31478,22166,9312,0
2014-07-03 01:00,31350,21990,9360,0
2014-07-03 02:00,30918,21678,9240,0
2014-07-03 03:00,30792,21483,9309,0
2014-07-03 04:00,34000,24682,9318,0
2014-07-03 05:00,35675,26317,9358,0
2014-07-03 06:00,35851,26464,9387,0
2014-07-03 07:00,37194,28388,8806,0
2014-07-03 08:00,34810,26581,8229,0
2014-07-03 09:00,36252,28042,8210,0
2014-07-03 10:00,442822,25983,8241,408598
2014-07-03 11:00,264079,27994,8681,227404
2014-07-03 12:00,95049,24393,8388,62268
2014-07-03 13:00,33172,24769,8403,0
2014-07-03 14:00,29535,21224,8311,0
2014-07-03 15:00,31418,23204,8214,0
2014-07-03 16:00,31632,23216,8416,0
2014-07-03 17:00,35781,27384,8397,0
2014-07-03 18:00,35776,27386,8390,0
2014-07-03 19:00,36799,28474,8325,0
2014-07-03 20:00,35423,27217,8206,0
2014-07-03 21:00,36451,28238,8213,0
2014-07-03 22:00,29379,21226,8153,0
2014-07-03 23:00,28179,19932,8247,0
2014-07-04 00:00,26031,17785,8246,0
2014-07-04 01:00,27645,19259,8386,0
2014-07-04 02:00,32008,23751,8257,0
2014-07-04 03:00,28692,20482,8210,0
2014-07-04 04:00,34042,26059,7983,0
2014-07-04 05:00,31694,23602,8092,0
2014-07-04 06:00,33134,24910,8224,0
2014-07-04 07:00,32537,24439,8098,0
2014-07-04 08:00,30995,22766,8229,0
2014-07-04 09:00,31979,23563,8416,0
2014-07-04 10:00,32391,24099,8292,0
2014-07-04 11:00,32063,23863,8200,0
2014-07-04 12:00,27693,19714,7979,0
2014-07-04 13:00,180048,22715,157333,0
2014-07-04 14:00,142539,20596,121943,0
2014-07-04 15:00,311973,19953,292020,0
2014-07-04 16:00,161905,20597,141308,0
2014-07-04 17:00,34837,25680,9157,0
2014-07-04 18:00,38458,29140,9318,0
2014-07-04 19:00,34868,25608,9260,0
