time,power1,Appliance1,Appliance2,Appliance3,Appliance8
2013-09-25 20:00,467,0,100,0,0
2013-09-25 21:00,409,0,0,43,0
2013-09-25 22:00,476,0,97,89,0
2013-09-25 23:00,302,0,0,93,0
2013-09-26 0:00,196,0,76,0,0
2013-09-26 1:00,205,0,100,0,0
2013-09-26 2:00,196,0,0,0,0
2013-09-26 3:00,157,0,0,0,0
2013-09-26 4:00,414,0,100,88,0
2013-09-26 5:00,196,0,0,90,0
2013-09-26 6:00,430,0,100,98,0
2013-09-26 7:00,426,0,0,0,0
2013-09-26 8:00,276,0,99,0,0
2013-09-26 9:00,2515,0,0,0,0
2013-09-26 10:00,583,0,98,0,0
2013-09-26 11:00,1096,0,0,90,0
2013-09-26 12:00,1359,0,97,93,0
2013-09-26 13:00,2290,0,0,0,0
2013-09-26 14:00,151,0,96,0,0
2013-09-26 15:00,771,0,0,0,0
2013-09-26 16:00,124,0,101,0,0
2013-09-26 17:00,2424,0,0,88,41
2013-09-26 18:00,549,0,92,89,0
2013-09-26 19:00,455,0,0,99,0
2013-09-26 20:00,480,0,100,0,0
2013-09-26 21:00,380,0,0,0,0
2013-09-26 22:00,206,0,98,0,0
2013-09-26 23:00,201,0,0,0,0
2013-09-27 0:00,285,0,97,88,0
2013-09-27 1:00,306,0,0,91,0
2013-09-27 2:00,290,0,95,100,0
2013-09-27 3:00,210,0,0,0,0
2013-09-27 4:00,150,0,4,0,0
2013-09-27 5:00,218,0,0,0,0
2013-09-27 6:00,257,0,106,0,0
2013-09-27 7:00,180,0,0,88,0
2013-09-27 8:00,194,0,99,91,0
2013-09-27 9:00,285,0,0,99,0
2013-09-27 10:00,462,0,96,0,0
2013-09-27 11:00,844,0,0,0,0
2013-09-27 12:00,1807,0,0,0,0
2013-09-27 13:00,1844,0,0,0,0
2013-09-27 14:00,927,0,0,88,0
2013-09-27 15:00,228,0,0,92,0
2013-09-27 16:00,145,0,95,98,0
2013-09-27 17:00,210,0,0,0,0
2013-09-27 18:00,4492,0,121,0,17
2013-09-27 19:00,595,0,101,0,0
2013-09-27 20:00,686,0,97,0,0
2013-09-27 22:00,651,0,95,92,0
2013-09-27 23:00,269,0,0,96,0
2013-09-28 0:00,205,0,96,0,0
2013-09-28 1:00,200,0,0,0,0
2013-09-28 2:00,149,0,4,0,0
2013-09-28 3:00,152,0,0,0,0
2013-09-28 4:00,331,0,0,89,0
2013-09-28 5:00,331,0,0,93,0
2013-09-28 6:00,290,0,0,0,0
2013-09-28 7:00,634,0,116,0,0
2013-09-28 8:00,349,0,98,0,0
2013-09-28 9:00,494,0,0,0,0
2013-09-28 10:00,387,0,98,0,0
2013-09-28 11:00,1184,0,0,89,0
2013-09-28 12:00,1506,0,99,94,0
2013-09-28 13:00,1945,0,95,0,0
2013-09-28 14:00,357,0,0,0,0
2013-09-28 15:00,668,0,99,0,0
2013-09-28 16:00,229,0,234,0,0
2013-09-28 17:00,485,0,108,88,0
2013-09-28 18:00,768,0,0,0,0
2013-09-28 19:00,928,0,99,0,0
2013-09-28 20:00,2920,0,0,88,0
2013-09-28 21:00,906,0,13,99,0
2013-09-28 22:00,518,0,102,0,0
2013-09-28 23:00,252,0,0,0,0
2013-09-29 0:00,266,0,100,0,0
2013-09-29 1:00,228,0,0,89,0
2013-09-29 2:00,296,0,96,92,0
2013-09-29 3:00,216,0,0,0,0
2013-09-29 4:00,195,0,0,0,0
2013-09-29 5:00,387,0,96,0,0
2013-09-29 6:00,612,0,77,0,0
2013-09-29 7:00,3074,0,111,87,0
2013-09-29 8:00,3275,0,0,88,0
2013-09-29 9:00,138,0,101,93,0
2013-09-29 10:00,534,0,0,0,0
2013-09-29 11:00,1278,0,0,0,0
2013-09-29 12:00,1695,0,102,0,0
2013-09-29 13:00,2257,0,0,0,0
2013-09-29 15:00,1061,0,0,93,0
2013-09-29 16:00,932,0,96,0,0
2013-09-29 17:00,331,0,0,0,0
2013-09-29 18:00,811,0,128,0,0
2013-09-29 19:00,528,0,0,0,0
2013-09-29 20:00,1531,0,117,86,0
2013-09-29 21:00,487,0,0,90,0
2013-09-29 22:00,302,0,101,98,0
