time,power1,Appliance1,Appliance2,Appliance3,Appliance8
2013-09-26 10:00,344,107,0,0,0
2013-09-26 11:00,352,110,0,0,0
2013-09-26 12:00,269,2,0,0,0
2013-09-26 13:00,277,2,0,0,0
2013-09-26 14:00,307,2,0,0,0
2013-09-26 15:00,286,2,0,0,0
2013-09-26 16:00,465,2,0,0,0
2013-09-26 17:00,582,2,0,0,0
2013-09-26 18:00,3070,2,0,0,0
2013-09-26 19:00,744,3,0,0,0
2013-09-26 20:00,753,102,0,0,0
2013-09-26 21:00,254,101,0,0,0
2013-09-26 22:00,256,102,0,0,0
2013-09-26 23:00,250,102,0,0,0
2013-09-27 0:00,258,102,0,0,0
2013-09-27 1:00,2121,102,0,0,0
2013-09-27 2:00,239,102,0,0,0
2013-09-27 3:00,210,101,0,0,0
2013-09-27 4:00,288,102,0,0,0
2013-09-27 5:00,314,102,0,0,0
2013-09-27 6:00,583,101,0,0,0
2013-09-27 7:00,541,123,0,0,0
2013-09-27 8:00,459,101,0,100,0
2013-09-27 9:00,409,100,0,3,0
2013-09-27 10:00,302,1,0,3,0
2013-09-27 11:00,634,2,0,3,0
2013-09-27 12:00,357,2,0,3,0
2013-09-27 13:00,318,2,0,3,0
2013-09-27 14:00,319,2,0,3,0
2013-09-27 15:00,586,106,0,3,0
2013-09-27 16:00,569,104,0,3,0
2013-09-27 17:00,583,106,0,4,0
2013-09-27 18:00,3164,102,0,3,0
2013-09-27 19:00,730,2,0,3,0
2013-09-27 20:00,750,134,0,4,0
2013-09-27 21:00,341,100,0,3,0
2013-09-27 22:00,195,2,0,3,0
2013-09-27 23:00,227,102,0,3,0
2013-09-28 0:00,218,103,0,3,0
2013-09-28 1:00,180,2,0,3,0
2013-09-28 2:00,185,2,0,3,0
2013-09-28 3:00,169,2,0,4,0
2013-09-28 4:00,315,122,0,3,0
2013-09-28 5:00,306,2,0,3,0
2013-09-28 6:00,421,111,0,3,0
2013-09-28 7:00,2167,106,1963,3,0
2013-09-28 8:00,1594,100,0,3,0
2013-09-28 9:00,602,109,0,3,0
2013-09-28 10:00,570,2,0,3,0
2013-09-28 11:00,583,105,0,3,0
2013-09-28 12:00,580,102,0,3,0
2013-09-28 13:00,721,2,1915,41,0
2013-09-28 14:00,2566,2,19,64,0
2013-09-28 15:00,2431,2,1963,3,0
2013-09-28 16:00,10202,97,199,134,0
2013-09-28 17:00,5491,101,171,3,2722
2013-09-28 18:00,2957,2,1909,278,0
2013-09-28 19:00,2385,2,1944,3,0
2013-09-28 20:00,811,2,254,3,0
2013-09-28 21:00,581,2,0,3,0
2013-09-28 22:00,246,2,0,3,0
2013-09-28 23:00,225,2,0,3,0
2013-09-29 0:00,220,2,0,3,0
2013-09-29 1:00,275,105,0,3,0
2013-09-29 2:00,265,104,0,3,0
2013-09-29 3:00,252,101,0,3,0
2013-09-29 4:00,573,386,0,3,0
2013-09-29 5:00,357,102,0,3,0
2013-09-29 6:00,288,2,0,3,0
2013-09-29 7:00,319,2,0,3,0
2013-09-29 8:00,1327,2,0,3,0
2013-09-29 9:00,581,2,0,3,0
2013-09-29 10:00,1278,2,788,145,0
2013-09-29 11:00,693,103,0,224,0
2013-09-29 12:00,568,101,0,3,0
2013-09-29 13:00,2366,107,7,3,0
2013-09-29 15:00,744,129,0,3,0
2013-09-29 16:00,897,386,0,3,0
2013-09-29 17:00,1067,101,0,3,0
2013-09-29 18:00,802,2,0,3,0
2013-09-29 19:00,737,2,0,3,0
2013-09-29 20:00,763,102,0,3,0
2013-09-29 21:00,319,101,0,3,0
2013-09-29 22:00,254,102,0,3,0
2013-09-29 23:00,244,102,0,3,0
2013-09-30 0:00,241,102,0,3,0
2013-09-30 1:00,242,102,0,3,0
2013-09-30 2:00,258,103,0,3,0
2013-09-30 3:00,251,103,0,3,0
2013-09-30 4:00,310,102,0,3,0
2013-09-30 5:00,243,2,0,3,0
2013-09-30 6:00,386,2,0,3,0
2013-09-30 7:00,444,133,0,3,0
2013-09-30 8:00,259,103,0,3,0
2013-09-30 9:00,256,100,0,3,0
2013-09-30 10:00,245,99,0,3,0
2013-09-30 11:00,252,101,0,3,0
2013-09-30 12:00,254,102,0,3,0
2013-09-30 13:00,244,102,0,3,0
2013-09-30 14:00,253,104,0,4,0
2013-09-30 15:00,335,106,0,3,0
2013-09-30 16:00,399,5,0,3,0
2013-09-30 17:00,749,2,0,3,0
2013-09-30 18:00,719,2,0,3,0
2013-09-30 19:00,3710,2,0,3,0
2013-09-30 20:00,715,102,0,3,0
2013-09-30 21:00,321,103,0,3,0
2013-09-30 22:00,325,100,0,3,0
2013-09-30 23:00,309,100,0,3,0
2013-10-01 0:00,312,102,0,3,0
2013-10-01 1:00,306,103,0,3,0
2013-10-01 2:00,292,103,0,3,0
2013-10-01 3:00,299,102,0,3,0
2013-10-01 4:00,385,101,0,3,0
2013-10-01 5:00,364,102,0,3,0
2013-10-01 6:00,2442,101,0,4,0
2013-10-01 7:00,216,2,0,3,0
2013-10-01 8:00,370,99,0,3,0
2013-10-01 9:00,371,102,0,3,0
2013-10-01 10:00,301,1,0,3,0
2013-10-01 11:00,361,103,0,3,0
2013-10-01 12:00,291,2,0,3,0
2013-10-01 13:00,382,2,0,3,0
2013-10-01 14:00,436,1,0,3,0
2013-10-01 15:00,538,125,0,3,0
2013-10-01 16:00,643,105,0,3,0
2013-10-01 17:00,754,102,0,3,0
2013-10-01 18:00,807,2,0,3,0
2013-10-01 19:00,2136,102,0,3,0
2013-10-01 20:00,766,2,0,3,0
2013-10-01 21:00,238,2,0,3,0
2013-10-01 22:00,222,2,0,3,0
2013-10-01 23:00,209,2,0,3,0
2013-10-02 0:00,219,2,0,3,0
2013-10-02 1:00,234,2,0,3,0
2013-10-02 2:00,1995,2,0,3,0
2013-10-02 3:00,215,2,0,3,0
2013-10-02 4:00,366,114,0,3,0
2013-10-02 5:00,1405,101,0,3,0
2013-10-02 6:00,503,102,0,3,0
2013-10-02 7:00,249,101,0,3,0
2013-10-02 8:00,242,102,0,3,0
2013-10-02 9:00,262,102,0,3,0
2013-10-02 10:00,254,103,0,3,0
2013-10-02 11:00,190,2,0,3,0
2013-10-02 12:00,194,2,0,3,0
2013-10-02 13:00,202,2,0,3,0
2013-10-02 14:00,199,2,0,3,0
2013-10-02 15:00,191,2,0,3,0
2013-10-02 16:00,530,6,0,3,0
2013-10-02 17:00,513,101,0,3,0
2013-10-02 18:00,568,105,0,3,0
2013-10-02 19:00,591,2,0,3,0
2013-10-02 20:00,536,2,0,3,0
2013-10-02 21:00,281,103,0,3,0
2013-10-02 22:00,278,102,0,3,0
2013-10-02 23:00,273,102,0,3,0
2013-10-03 0:00,269,103,0,4,0
2013-10-03 1:00,276,103,0,3,0
2013-10-03 2:00,254,104,0,3,0
2013-10-03 3:00,244,102,0,3,0
2013-10-03 4:00,351,103,0,3,0
2013-10-03 5:00,1327,104,0,3,0
2013-10-03 6:00,715,371,0,3,0
2013-10-03 7:00,468,107,0,3,0
2013-10-03 8:00,2063,1,0,3,0
2013-10-03 9:00,1229,2,0,3,0
2013-10-03 10:00,1232,2,0,3,0
2013-10-03 11:00,206,2,0,3,0
2013-10-03 12:00,189,2,0,3,0
2013-10-03 13:00,183,2,0,3,0
2013-10-03 14:00,187,2,0,3,0
2013-10-03 15:00,303,2,0,3,0
2013-10-03 16:00,464,102,0,3,0
2013-10-03 17:00,413,2,0,3,0
2013-10-03 18:00,4837,129,0,3,0
2013-10-03 19:00,465,2,0,3,0
2013-10-03 20:00,1352,2,0,3,0
2013-10-03 21:00,238,2,0,3,0
2013-10-03 22:00,261,2,0,4,0
2013-10-03 23:00,288,115,0,3,0
2013-10-04 0:00,252,100,0,3,0
2013-10-04 1:00,242,104,0,3,0
2013-10-04 2:00,245,103,0,3,0
2013-10-04 3:00,185,2,0,3,0
2013-10-04 4:00,201,2,0,4,0
2013-10-04 5:00,228,2,0,4,0
2013-10-04 6:00,454,108,0,3,0
2013-10-04 7:00,390,102,0,3,0
2013-10-04 8:00,453,2,0,3,0
2013-10-04 9:00,583,101,0,3,0
2013-10-04 10:00,550,111,0,3,0
2013-10-04 11:00,2194,102,158,164,0
2013-10-04 12:00,395,105,0,3,0
2013-10-04 13:00,381,103,0,3,0
2013-10-04 14:00,376,104,0,3,0
2013-10-04 15:00,1071,102,797,5,0
2013-10-04 16:00,605,2,197,3,0
2013-10-04 17:00,397,2,0,3,0
2013-10-04 18:00,883,2,172,40,0
2013-10-04 19:00,787,2,173,6,0
2013-10-04 20:00,1148,2,788,3,0
2013-10-04 21:00,369,2,0,3,0
2013-10-04 22:00,258,2,0,3,0
2013-10-04 23:00,229,2,0,4,0
2013-10-05 0:00,220,2,0,3,0
2013-10-05 1:00,232,2,0,3,0
2013-10-05 2:00,209,2,0,3,0
2013-10-05 3:00,259,106,0,4,0
2013-10-05 4:00,346,101,0,3,0
2013-10-05 5:00,372,103,0,3,0
2013-10-05 6:00,364,102,0,3,0
2013-10-05 7:00,406,102,0,3,0
2013-10-05 8:00,711,103,1941,3,0
2013-10-05 9:00,2228,99,169,3,0
2013-10-05 10:00,593,102,20,3,0
2013-10-05 11:00,398,8,0,3,0
2013-10-05 12:00,317,2,0,3,0
2013-10-05 13:00,650,103,0,3,0
2013-10-05 14:00,666,2,0,52,0
2013-10-05 15:00,3664,2,1972,123,0
2013-10-05 16:00,2529,2,1950,3,0
2013-10-05 17:00,2823,131,787,3,0
2013-10-05 18:00,1328,100,192,20,0
2013-10-05 19:00,1054,102,196,3,0
2013-10-05 20:00,560,2,0,3,0
2013-10-05 21:00,1020,385,0,3,0
2013-10-05 22:00,448,113,0,3,0
2013-10-05 23:00,272,107,0,3,0
2013-10-06 0:00,2046,103,0,3,0
2013-10-06 1:00,211,100,0,3,0
2013-10-06 2:00,179,5,0,3,0
2013-10-06 3:00,173,5,0,3,0
2013-10-06 4:00,241,5,0,3,0
2013-10-06 5:00,238,2,0,3,0
2013-10-06 6:00,263,2,0,4,0
2013-10-06 7:00,1931,2,1978,3,0
2013-10-06 8:00,465,2,1,45,0
2013-10-06 9:00,320,2,0,3,0
2013-10-06 10:00,453,2,0,3,0
2013-10-06 11:00,371,2,0,3,0
2013-10-06 12:00,2626,115,0,52,0
2013-10-06 13:00,2843,385,0,4,0
2013-10-06 14:00,891,103,0,6,0
2013-10-06 15:00,594,101,0,3,0
2013-10-06 16:00,706,2,0,3,0
2013-10-06 17:00,4184,2,0,3,0
2013-10-06 18:00,809,106,0,3,0
2013-10-06 19:00,789,1,0,3,0
2013-10-06 20:00,816,105,0,3,0
2013-10-06 21:00,275,104,0,3,0
